Borough,Neighborhood,Latitude,Longitude,Population
Manhattan,Midtown,40.75469110270623,-73.98166882730304,104753.0
Manhattan,Murray Hill,40.748303077252174,-73.97833207924127,10864.0
Queens,Murray Hill,40.764126122614066,-73.81276269135866,10864.0
Manhattan,Chelsea,40.744034706747975,-74.00311633472813,47325.0
Staten Island,Chelsea,40.59472602746295,-74.1895604551969,47325.0
Manhattan,Greenwich Village,40.72693288536128,-73.99991402945902,22785.0
Manhattan,East Village,40.727846777270244,-73.98222616506416,63347.0
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,72957.0
Manhattan,Lower East Side,40.71780674892765,-73.98089031999291,72957.0
Manhattan,Tribeca,40.721521967443216,-74.01068328559087,17362.0
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332,31884.0
Manhattan,Battery Park City,40.71193198394565,-74.01686930508617,9252.0
Manhattan,Financial District,40.70710710727048,-74.0106654452127,57627.0
Queens,Woodside,40.74634908860222,-73.90184166838284,45099.0
Queens,Jackson Heights,40.75198138007367,-73.88282109164365,108152.0
Queens,Elmhurst,40.744048505122024,-73.88165622288388,88427.0
Queens,Howard Beach,40.65422527738487,-73.8381376460028,26148.0
Queens,Corona,40.74238175015667,-73.85682497345258,109695.0
Queens,Forest Hills,40.72526378216503,-73.84447500788983,83728.0
Queens,Kew Gardens,40.7051790354148,-73.82981905825703,23278.0
Queens,Richmond Hill,40.69794731471763,-73.83183321446887,62982.0
Queens,Richmond Hill,40.69794731471763,-73.83183321446887,62982.0
Queens,Long Island City,40.75021734610528,-73.93920223915505,20030.0
Queens,Long Island City,40.75021734610528,-73.93920223915505,20030.0
Queens,Sunnyside,40.74017628351924,-73.92691617561577,63271.0
Staten Island,Sunnyside,40.61276015756489,-74.0971255217853,63271.0
Queens,East Elmhurst,40.76407323883091,-73.86704147658772,23150.0
Queens,Ridgewood,40.70832315613858,-73.90143517559589,69317.0
Queens,Glendale,40.70276242967838,-73.87074167435605,32496.0
Queens,Rego Park,40.72897409480735,-73.8578268690537,28260.0
Queens,Woodhaven,40.68988687915789,-73.8581104655432,56674.0
Queens,South Ozone Park,40.66854957767195,-73.80986478649041,75878.0
Queens,College Point,40.784902749260205,-73.84304528896125,24069.0
Queens,Bayside,40.76604063281064,-73.7742736306867,43808.0
Queens,Little Neck,40.7708261928267,-73.7388977558074,17823.0
Queens,Douglaston,40.76684609790763,-73.7424982072733,17823.0
Queens,Glen Oaks,40.74944079974332,-73.71548118999145,29506.0
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,37479.0
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264,17812.0
Queens,Briarwood,40.71093547252271,-73.81174822458634,53877.0
Queens,Oakland Gardens,40.74561857141855,-73.75494976234332,43808.0
Queens,Queens Village,40.718893092167356,-73.73871484578424,52504.0
Queens,Hollis,40.71124344191904,-73.75925009335594,20269.0
Queens,South Jamaica,40.696911253789885,-73.7904261313554,32496.0
Queens,Springfield Gardens,40.666230490368584,-73.76042092682287,39827.0
Queens,Cambria Heights,40.692774639160845,-73.73526873708026,18677.0
Queens,Rosedale,40.659816433428084,-73.73526079428278,25063.0
Queens,Far Rockaway,40.603134432500894,-73.75497968043872,60035.0
Queens,Breezy Point,40.55740128845452,-73.92551196994168,4079.0
Queens,Bay Terrace,40.782842806245554,-73.7768022262158,43808.0
Staten Island,Bay Terrace,40.55398800858462,-74.13916622175768,43808.0
Queens,Arverne,40.58914394372971,-73.79199233136943,18540.0
Queens,Neponsit,40.572036730217015,-73.85754672410827,2000.0
Queens,Floral Park,40.741378421945434,-73.70884705889246,15863.0
Queens,Holliswood,40.7209572076444,-73.76714166714729,20269.0
Queens,Lindenwood,40.66391841925139,-73.84963782402441,26148.0
Queens,Laurelton,40.66788389660247,-73.74025607989822,24453.0
Queens,Brookville,40.66000322733613,-73.75175310731153,39827.0
Queens,North Corona,40.7540709990489,-73.85751790676447,109695.0
Staten Island,St. George,40.6449815710044,-74.07935312512797,8662.0
Staten Island,New Brighton,40.64061455913511,-74.08701650516625,5795.0
Staten Island,Stapleton,40.62692762538176,-74.07790192660066,37669.0
Staten Island,West Brighton,40.63187892654607,-74.1071817826561,20099.0
Staten Island,South Beach,40.58024741350956,-74.0795529253982,8575.0
Staten Island,Port Richmond,40.63366930554365,-74.12943426797008,18516.0
Staten Island,New Dorp,40.57257231820632,-74.1164794360638,28225.0
Staten Island,Great Kills,40.549480228713605,-74.14932381490992,40720.0
Staten Island,Tottenville,40.50533376115642,-74.24656934235283,14945.0
Brooklyn,Rugby,40.655572313280764,-73.92688212616955,135619.0
Staten Island,Dongan Hills,40.588672948199275,-74.09639905312521,16375.0
Staten Island,Midland Beach,40.57352690574283,-74.09348266303591,21456.0
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550404,45231.0
Queens,Utopia,40.73350025429757,-73.79671678028349,17812.0
Bronx,Mount Hope,40.84884160724665,-73.90829930881988,24739.0
Queens,Hunters Point,40.743414090073536,-73.95386782130745,20030.0
Manhattan,Turtle Bay,40.75204236950722,-73.96770824581834,24856.0
Manhattan,Stuyvesant Town,40.73099955477061,-73.97405170469203,21049.0
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682,63271.0
Queens,Blissville,40.73725071694497,-73.93244235260178,20030.0
Brooklyn,Vinegar Hill,40.70332149882874,-73.98111603592393,2671.0
Brooklyn,Dumbo,40.70317632822692,-73.9887528074504,1139.0
Brooklyn,Homecrest,40.598525095137255,-73.95918459428702,44316.0
Queens,Middle Village,40.716414511158185,-73.88114319200604,37929.0
Brooklyn,Erasmus,40.64692606658579,-73.94817709920184,135619.0
Manhattan,Hudson Yards,40.75665808227519,-74.00011136202637,70150.0
